Date,City,Locality,Avg_Price_sqft,Avg_Sale_Price,Demand_Index,Growth_%
2018-01-01,Chennai,Velachery,5186.0,19364524,44,2.09
2018-01-02,Hyderabad,Miyapur,7622.0,28574878,75,11.87
2018-01-03,Pune,Hinjewadi,12711.0,27798957,89,2.15
2018-01-04,Hyderabad,Miyapur,9604.0,37695700,61,9.82
2018-01-05,Hyderabad,Gachibowli,11301.0,34309836,71,-1.0
2018-01-06,Hyderabad,Madhapur,13002.0,54335358,96,4.47
2018-01-07,Mumbai,Bandra,4067.0,10785684,91,7.51
2018-01-08,Hyderabad,Madhapur,5801.0,23836309,41,-0.8
2018-01-09,Mumbai,Powai,11634.0,16799496,50,6.78
2018-01-10,Chennai,OMR,10008.0,26411112,94,1.32
2018-01-11,Hyderabad,Gachibowli,8246.0,22989848,54,5.99
2018-01-12,Hyderabad,Banjara Hills,7265.0,10766730,86,0.7
2018-01-13,Mumbai,Andheri,12983.0,23070791,41,2.28
2018-01-14,Hyderabad,Jubilee Hills,14853.0,50470494,41,12.84
2018-01-15,Hyderabad,Miyapur,12492.0,12554460,89,-0.34
2018-01-16,Pune,Kharadi,12325.0,34140250,48,5.08
2018-01-17,Chennai,OMR,6342.0,11193630,82,12.15
2018-01-18,Chennai,OMR,9537.0,33350889,44,-0.08
2018-01-19,Chennai,Velachery,10651.0,42167309,51,5.23
2018-01-20,Hyderabad,Kondapur,4189.0,6266744,100,-0.14
2018-01-21,Pune,Kharadi,12193.0,35054875,75,14.63
2018-01-22,Mumbai,Thane,7525.0,34991250,44,8.63
2018-01-23,Pune,Wakad,4741.0,11776644,60,2.16
2018-01-24,Chennai,Velachery,4081.0,10337173,80,1.96
2018-01-25,Chennai,Velachery,14278.0,12250524,84,8.93
2018-01-26,Mumbai,Powai,8006.0,5235924,87,6.06
2018-01-27,Mumbai,Thane,8707.0,9821496,84,3.18
2018-01-28,Hyderabad,Jubilee Hills,8765.0,20010495,99,6.04
2018-01-29,Bengaluru,Whitefield,12586.0,15594054,41,0.7
2018-01-30,Mumbai,Andheri,4028.0,6001720,56,4.33
2018-01-31,Hyderabad,Kondapur,14845.0,19788385,63,11.35
2018-02-01,Hyderabad,Jubilee Hills,14074.0,54396010,66,3.84
2018-02-02,Pune,Baner,14538.0,21516240,68,5.27
2018-02-03,Bengaluru,Electronic City,7311.0,19125576,57,3.75
2018-02-04,Bengaluru,Whitefield,10300.0,28016000,97,11.67
2018-02-05,Bengaluru,Whitefield,6491.0,15143503,76,13.64
2018-02-06,Hyderabad,Gachibowli,12592.0,13548992,57,14.3
2018-02-07,Chennai,OMR,12164.0,8247192,71,-1.42
2018-02-08,Pune,Hinjewadi,7283.0,15884223,100,8.6
2018-02-09,Mumbai,Powai,13766.0,30890904,86,-0.08
2018-02-10,Mumbai,Powai,10125.0,30921750,96,0.1
2018-02-11,Bengaluru,Electronic City,7162.0,35351632,65,-1.31
2018-02-12,Pune,Wakad,9488.0,32951824,88,8.12
2018-02-13,Mumbai,Andheri,6174.0,24831828,69,4.15
2018-02-14,Hyderabad,Kukatpally,6632.0,32901352,85,14.53
2018-02-15,Pune,Hinjewadi,8577.0,24933339,49,2.78
2018-02-16,Bengaluru,Whitefield,5676.0,24406800,47,-1.14
2018-02-17,Hyderabad,Gachibowli,4613.0,15518132,92,-1.81
2018-02-18,Hyderabad,Banjara Hills,11921.0,54359760,50,4.76
2018-02-19,Pune,Wakad,4298.0,16727816,100,-1.9
2018-02-20,Bengaluru,HSR Layout,13036.0,8095356,62,2.82
2018-02-21,Bengaluru,Electronic City,11909.0,18304133,65,8.45
2018-02-22,Mumbai,Andheri,8047.0,12134876,64,8.19
2018-02-23,Chennai,Adyar,6928.0,32042000,92,5.79
2018-02-24,Hyderabad,Banjara Hills,12358.0,50914960,88,6.57
2018-02-25,Hyderabad,Madhapur,8716.0,13753848,88,2.29
2018-02-26,Mumbai,Bandra,12290.0,32605370,60,13.22
2018-02-27,Mumbai,Powai,14318.0,36711352,61,11.0
2018-02-28,Pune,Wakad,7631.0,3922334,79,9.1
2018-03-01,Bengaluru,Indiranagar,6190.0,18365730,49,5.66
2018-03-02,Hyderabad,Jubilee Hills,14577.0,49109913,41,4.9
2018-03-03,Bengaluru,HSR Layout,12491.0,48515044,80,-1.18
2018-03-04,Mumbai,Bandra,8283.0,19465050,75,9.55
2018-03-05,Chennai,Velachery,9355.0,20216155,40,12.58
2018-03-06,Pune,Kharadi,4440.0,7476960,48,9.77
2018-03-07,Bengaluru,Whitefield,8039.0,29294116,46,0.26
2018-03-08,Chennai,OMR,13863.0,48714582,46,3.9
2018-03-09,Mumbai,Powai,8724.0,41770512,71,8.07
2018-03-10,Bengaluru,Indiranagar,14428.0,26807224,97,13.14
2018-03-11,Pune,Kharadi,11551.0,41664457,75,10.61
2018-03-12,Bengaluru,HSR Layout,14114.0,37980774,55,3.58
2018-03-13,Mumbai,Bandra,8872.0,15215480,65,12.52
2018-03-14,Pune,Baner,11045.0,6019525,69,5.35
2018-03-15,Bengaluru,Electronic City,11457.0,45472833,42,2.27
2018-03-16,Mumbai,Bandra,4263.0,18744411,72,10.97
2018-03-17,Hyderabad,Gachibowli,14298.0,56176842,54,14.9
2018-03-18,Bengaluru,Indiranagar,9785.0,23004535,93,5.98
2018-03-19,Mumbai,Powai,8013.0,22460439,99,3.15
2018-03-20,Pune,Hinjewadi,5179.0,3076326,62,11.34
2018-03-21,Chennai,Velachery,12696.0,57766800,70,6.38
2018-03-22,Pune,Hinjewadi,11667.0,21152271,51,8.83
2018-03-23,Mumbai,Thane,7495.0,12614085,75,11.1
2018-03-24,Chennai,Anna Nagar,10614.0,36183126,85,3.09
2018-03-25,Chennai,OMR,7111.0,3911050,84,9.72
2018-03-26,Hyderabad,Kukatpally,10043.0,13296932,60,-1.65
2018-03-27,Hyderabad,Banjara Hills,10629.0,41973921,46,-0.59
2018-03-28,Hyderabad,Banjara Hills,5988.0,7317336,85,9.81
2018-03-29,Chennai,OMR,4992.0,3798912,95,12.19
2018-03-30,Hyderabad,Kondapur,11814.0,21773202,81,9.96
2018-03-31,Mumbai,Bandra,10163.0,36434355,50,7.97
2018-04-01,Pune,Baner,5393.0,18018013,65,5.91
2018-04-02,Chennai,OMR,13496.0,32484872,51,11.7
2018-04-03,Bengaluru,Whitefield,5738.0,26050520,73,8.32
2018-04-04,Mumbai,Powai,13973.0,58127680,43,-1.41
2018-04-05,Hyderabad,Jubilee Hills,9221.0,11397156,54,0.93
2018-04-06,Pune,Baner,6372.0,6091632,81,-0.21
2018-04-07,Mumbai,Bandra,11666.0,19505552,96,10.73
2018-04-08,Bengaluru,Indiranagar,6339.0,9172533,95,0.54
2018-04-09,Chennai,Velachery,5789.0,15254015,99,1.59
2018-04-10,Chennai,Velachery,10392.0,25460400,91,6.63
2018-04-11,Hyderabad,Kukatpally,13360.0,30567680,96,8.35
2018-04-12,Bengaluru,Electronic City,5076.0,10948932,45,-1.74
2018-04-13,Chennai,OMR,13419.0,24677541,92,12.11
2018-04-14,Mumbai,Thane,12691.0,59711155,59,2.26
2018-04-15,Pune,Baner,11277.0,53937891,72,10.95
2018-04-16,Bengaluru,HSR Layout,6692.0,28675220,42,4.73
2018-04-17,Pune,Wakad,4877.0,18439937,46,7.02
2018-04-18,Mumbai,Thane,4659.0,19642344,46,2.26
2018-04-19,Bengaluru,Whitefield,12417.0,12342498,76,2.9
2018-04-20,Pune,Kharadi,12987.0,47623329,55,3.67
2018-04-21,Bengaluru,Electronic City,8422.0,26664052,95,3.92
2018-04-22,Bengaluru,HSR Layout,14948.0,58506472,70,2.57
2018-04-23,Mumbai,Thane,8576.0,14793600,62,4.64
2018-04-24,Mumbai,Thane,7018.0,29033466,60,14.47
2018-04-25,Mumbai,Andheri,12822.0,62750868,62,5.7
2018-04-26,Mumbai,Bandra,11974.0,24438934,44,12.04
2018-04-27,Mumbai,Bandra,12382.0,59346926,62,7.69
2018-04-28,Hyderabad,Kondapur,13604.0,51096624,49,7.77
2018-04-29,Hyderabad,Gachibowli,12560.0,14104880,77,3.49
2018-04-30,Pune,Hinjewadi,11370.0,38180460,55,1.79
2018-05-01,Chennai,Adyar,5106.0,13091784,41,11.48
2018-05-02,Chennai,Adyar,9488.0,32951824,55,4.59
2018-05-03,Chennai,Velachery,5517.0,13682160,50,4.25
2018-05-04,Bengaluru,Indiranagar,13764.0,21637008,48,12.83
2018-05-05,Mumbai,Powai,4245.0,7165560,44,7.55
2018-05-06,Chennai,Velachery,9831.0,37043208,84,3.97
2018-05-07,Hyderabad,Madhapur,8438.0,24360506,88,3.15
