Listing_ID,City,Locality,Price_INR,Area_sqft,BHK,Posted_Date,Status
1,Chennai,Velachery,20020153,3734,1,2026-05-16,Available
2,Hyderabad,Miyapur,28453888,3749,1,2026-06-26,Pending
3,Pune,Hinjewadi,27928625,2187,4,2026-05-03,Sold
4,Hyderabad,Miyapur,38237302,3925,2,2026-04-26,Sold
5,Hyderabad,Gachibowli,34412624,3036,5,2026-06-23,Pending
6,Hyderabad,Madhapur,54319278,4179,4,2026-06-20,Available
7,Mumbai,Bandra,11120496,2652,3,2026-05-19,Sold
8,Hyderabad,Madhapur,23772417,4109,2,2026-04-22,Sold
9,Mumbai,Powai,16729863,1444,4,2026-05-03,Sold
10,Chennai,OMR,26413144,2639,5,2026-05-19,Pending
11,Hyderabad,Gachibowli,23198134,2788,4,2026-06-13,Sold
12,Hyderabad,Banjara Hills,10533148,1482,4,2026-07-06,Available
13,Mumbai,Andheri,23185186,1777,5,2026-05-06,Available
14,Hyderabad,Jubilee Hills,50354499,3398,4,2026-04-23,Available
15,Hyderabad,Miyapur,13002741,1005,3,2026-04-29,Available
16,Pune,Kharadi,34463097,2770,4,2026-05-14,Sold
17,Chennai,OMR,11032248,1765,3,2026-04-10,Sold
18,Chennai,OMR,33330201,3497,1,2026-06-26,Available
19,Chennai,Velachery,41819172,3959,3,2026-06-05,Available
20,Hyderabad,Kondapur,6105327,1496,4,2026-06-06,Available
21,Pune,Kharadi,35633303,2875,4,2026-05-10,Available
22,Mumbai,Thane,35027269,4650,3,2026-05-15,Available
23,Pune,Wakad,11925813,2484,3,2026-06-12,Sold
24,Chennai,Velachery,10946963,2533,5,2026-06-20,Pending
25,Chennai,Velachery,11928974,858,5,2026-07-06,Available
26,Mumbai,Powai,4892056,654,5,2026-06-06,Available
27,Mumbai,Thane,10512178,1128,4,2026-06-22,Available
28,Hyderabad,Jubilee Hills,20117806,2283,4,2026-05-12,Available
29,Bengaluru,Whitefield,16125215,1239,2,2026-04-13,Sold
30,Mumbai,Andheri,6325689,1490,3,2026-05-21,Pending
31,Hyderabad,Kondapur,20185436,1333,1,2026-07-06,Pending
32,Hyderabad,Jubilee Hills,54520482,3865,4,2026-06-07,Pending
33,Pune,Baner,22165029,1480,2,2026-06-15,Available
34,Bengaluru,Electronic City,18755724,2616,5,2026-05-07,Sold
35,Bengaluru,Whitefield,28543236,2720,2,2026-07-09,Available
36,Bengaluru,Whitefield,15280580,2333,2,2026-06-23,Pending
37,Hyderabad,Gachibowli,13557252,1076,3,2026-05-10,Pending
38,Chennai,OMR,8456137,678,2,2026-05-17,Sold
39,Pune,Hinjewadi,15777047,2181,4,2026-06-11,Sold
40,Mumbai,Powai,30557336,2244,1,2026-06-18,Sold
41,Mumbai,Powai,30856704,3054,4,2026-05-22,Sold
42,Bengaluru,Electronic City,34924726,4936,4,2026-05-11,Available
43,Pune,Wakad,32588835,3473,3,2026-07-06,Available
44,Mumbai,Andheri,24497534,4022,4,2026-05-05,Available
45,Hyderabad,Kukatpally,32764561,4961,3,2026-06-10,Available
46,Pune,Hinjewadi,24828128,2907,3,2026-05-29,Available
47,Bengaluru,Whitefield,24313986,4300,1,2026-06-30,Sold
48,Hyderabad,Gachibowli,15704423,3364,2,2026-05-18,Pending
49,Hyderabad,Banjara Hills,54428438,4560,5,2026-05-18,Sold
50,Pune,Wakad,16556160,3892,4,2026-05-16,Available
51,Bengaluru,HSR Layout,8688305,621,1,2026-06-18,Available
52,Bengaluru,Electronic City,18215411,1537,1,2026-05-10,Available
53,Mumbai,Andheri,12788418,1508,2,2026-04-20,Sold
54,Chennai,Adyar,31918583,4625,4,2026-05-10,Sold
55,Hyderabad,Banjara Hills,51207395,4120,5,2026-04-17,Available
56,Hyderabad,Madhapur,13932987,1578,4,2026-04-22,Sold
57,Mumbai,Bandra,32459247,2653,5,2026-06-06,Available
58,Mumbai,Powai,37138883,2564,5,2026-06-10,Available
59,Pune,Wakad,3469078,514,1,2026-07-03,Available
60,Bengaluru,Indiranagar,17999252,2967,5,2026-04-19,Available
61,Hyderabad,Jubilee Hills,49108340,3369,5,2026-06-19,Available
62,Bengaluru,HSR Layout,49017325,3884,2,2026-05-02,Available
63,Mumbai,Bandra,20062373,2350,1,2026-06-06,Sold
64,Chennai,Velachery,20633059,2161,2,2026-06-10,Pending
65,Pune,Kharadi,7066395,1684,1,2026-04-11,Available
66,Bengaluru,Whitefield,29224018,3644,1,2026-06-02,Sold
67,Chennai,OMR,48315490,3514,3,2026-05-02,Pending
68,Mumbai,Powai,42350839,4788,2,2026-06-06,Pending
69,Bengaluru,Indiranagar,26487941,1858,1,2026-05-16,Pending
