Place_ID,Category,Name,City,Locality,Latitude,Longitude,Distance_km,Rating
1,Hospital,Mall_1,Chennai,Velachery,17.74892,72.75304,6.34,4.2
2,Mall,Airport_2,Hyderabad,Miyapur,12.326079,78.867748,1.06,4.4
3,Airport,College_3,Pune,Hinjewadi,14.993146,74.513177,2.95,5.0
4,Hospital,Hospital_4,Hyderabad,Miyapur,13.063892,75.911705,9.45,3.9
5,Mall,Bus Stop_5,Hyderabad,Gachibowli,13.992169,75.086332,3.97,4.7
6,Metro,Metro_6,Hyderabad,Madhapur,13.944874,73.095409,2.4,3.5
7,Hospital,College_7,Mumbai,Bandra,13.019735,76.276728,6.38,3.1
8,Metro,Park_8,Hyderabad,Madhapur,14.380376,72.420605,9.56,4.2
9,Metro,Restaurant_9,Mumbai,Powai,15.362766,74.494819,9.15,4.5
10,Mall,Mall_10,Chennai,OMR,18.35781,74.845569,5.22,3.7
11,School,College_11,Hyderabad,Gachibowli,13.355515,76.841112,9.1,3.7
12,College,Metro_12,Hyderabad,Banjara Hills,15.346229,73.428174,6.15,4.2
13,Airport,Park_13,Mumbai,Andheri,12.916887,72.113944,5.49,4.7
14,Metro,Metro_14,Hyderabad,Jubilee Hills,16.083441,79.234374,1.5,4.2
15,Hospital,College_15,Hyderabad,Miyapur,15.715084,75.859896,3.32,4.9
16,Hospital,Mall_16,Pune,Kharadi,15.732998,75.824291,4.34,3.4
17,Restaurant,Bus Stop_17,Chennai,OMR,13.771755,73.098037,3.46,3.4
18,Park,Park_18,Chennai,OMR,15.878352,75.523665,0.49,4.6
19,Hospital,Park_19,Chennai,Velachery,13.045576,79.353372,0.93,4.7
20,Metro,Mall_20,Hyderabad,Kondapur,14.374062,76.424513,9.33,4.3
21,College,Hospital_21,Pune,Kharadi,16.7051,74.164179,6.62,4.3
22,School,Hospital_22,Mumbai,Thane,18.877084,74.741637,6.69,3.8
23,Metro,School_23,Pune,Wakad,15.216171,73.260264,3.42,3.2
24,Bus Stop,Airport_24,Chennai,Velachery,12.635962,78.536354,7.23,4.0
25,Metro,Airport_25,Chennai,Velachery,15.004713,77.608426,9.6,3.8
26,Mall,Mall_26,Mumbai,Powai,15.42506,72.026515,7.42,5.0
27,College,School_27,Mumbai,Thane,17.368791,76.935792,4.91,4.9
28,Restaurant,College_28,Hyderabad,Jubilee Hills,16.962096,74.284348,9.94,3.8
29,Bus Stop,Park_29,Bengaluru,Whitefield,13.832663,74.876429,7.3,3.8
30,Hospital,Airport_30,Mumbai,Andheri,14.271833,74.706181,9.26,4.5
31,Bus Stop,Restaurant_31,Hyderabad,Kondapur,13.999362,79.484719,5.54,4.4
32,Park,Bus Stop_32,Hyderabad,Jubilee Hills,17.268676,77.155926,6.59,3.6
33,Hospital,Metro_33,Pune,Baner,13.131599,73.66298,3.49,3.2
34,Airport,Metro_34,Bengaluru,Electronic City,18.21076,77.997261,6.9,4.1
35,Bus Stop,Restaurant_35,Bengaluru,Whitefield,14.7983,75.566867,8.57,4.9
36,Park,Restaurant_36,Bengaluru,Whitefield,15.656559,77.4566,6.4,4.4
37,Mall,Restaurant_37,Hyderabad,Gachibowli,18.604783,73.533614,2.55,4.9
38,Bus Stop,Mall_38,Chennai,OMR,18.19394,77.177347,0.17,3.6
39,Bus Stop,School_39,Pune,Hinjewadi,14.18201,78.560036,9.49,3.3
40,Mall,Metro_40,Mumbai,Powai,12.993378,72.414724,6.56,4.0
41,Park,Bus Stop_41,Mumbai,Powai,18.89488,75.539481,0.97,4.4
