Property_ID,City,Locality,Latitude,Longitude,Property_Type,Area_sqft,Bedrooms,Bathrooms,Floor,Parking,Furnishing,Age,Investment_Score,Risk_Score,Price_INR
1,Chennai,Velachery,17.74892,72.75304,Apartment,3734,1,1,16,Yes,Unfurnished,2,77,54,19364524
2,Hyderabad,Miyapur,12.326079,78.867748,Independent House,3749,1,1,13,Yes,Fully,3,86,40,28574878
3,Pune,Hinjewadi,14.993146,74.513177,Plot,2187,4,3,11,No,Unfurnished,25,61,90,27798957
4,Hyderabad,Miyapur,13.063892,75.911705,Apartment,3925,2,1,21,Yes,Fully,18,100,41,37695700
5,Hyderabad,Gachibowli,13.992169,75.086332,Independent House,3036,5,4,0,No,Semi,5,89,15,34309836
6,Hyderabad,Madhapur,13.944874,73.095409,Plot,4179,4,3,17,No,Fully,13,72,88,54335358
7,Mumbai,Bandra,13.019735,76.276728,Independent House,2652,3,2,4,Yes,Semi,28,99,88,10785684
8,Hyderabad,Madhapur,14.380376,72.420605,Apartment,4109,2,1,18,Yes,Fully,3,73,79,23836309
9,Mumbai,Powai,15.362766,74.494819,Villa,1444,4,3,3,No,Fully,8,80,89,16799496
10,Chennai,OMR,18.35781,74.845569,Villa,2639,5,4,17,No,Fully,7,89,98,26411112
11,Hyderabad,Gachibowli,13.355515,76.841112,Independent House,2788,4,3,14,No,Semi,2,64,14,22989848
12,Hyderabad,Banjara Hills,15.346229,73.428174,Independent House,1482,4,3,2,No,Semi,12,97,11,10766730
13,Mumbai,Andheri,12.916887,72.113944,Apartment,1777,5,4,16,Yes,Semi,27,62,28,23070791
14,Hyderabad,Jubilee Hills,16.083441,79.234374,Plot,3398,4,3,16,Yes,Fully,4,83,66,50470494
15,Hyderabad,Miyapur,15.715084,75.859896,Apartment,1005,3,2,17,Yes,Unfurnished,6,67,6,12554460
16,Pune,Kharadi,15.732998,75.824291,Villa,2770,4,3,22,No,Fully,28,62,58,34140250
17,Chennai,OMR,13.771755,73.098037,Plot,1765,3,2,7,Yes,Semi,28,81,21,11193630
18,Chennai,OMR,15.878352,75.523665,Apartment,3497,1,1,12,No,Fully,19,68,66,33350889
19,Chennai,Velachery,13.045576,79.353372,Plot,3959,3,2,22,No,Unfurnished,8,53,89,42167309
20,Hyderabad,Kondapur,14.374062,76.424513,Independent House,1496,4,3,19,Yes,Unfurnished,16,95,31,6266744
21,Pune,Kharadi,16.7051,74.164179,Apartment,2875,4,3,8,Yes,Unfurnished,0,96,65,35054875
22,Mumbai,Thane,18.877084,74.741637,Villa,4650,3,2,12,No,Unfurnished,26,58,2,34991250
23,Pune,Wakad,15.216171,73.260264,Plot,2484,3,2,0,No,Semi,30,71,71,11776644
24,Chennai,Velachery,12.635962,78.536354,Villa,2533,5,4,12,Yes,Semi,0,69,39,10337173
25,Chennai,Velachery,15.004713,77.608426,Villa,858,5,4,16,Yes,Fully,18,95,88,12250524
26,Mumbai,Powai,15.42506,72.026515,Apartment,654,5,4,23,Yes,Fully,16,54,96,5235924
27,Mumbai,Thane,17.368791,76.935792,Villa,1128,4,3,2,Yes,Semi,8,91,96,9821496
28,Hyderabad,Jubilee Hills,16.962096,74.284348,Plot,2283,4,3,14,Yes,Fully,6,69,11,20010495
29,Bengaluru,Whitefield,13.832663,74.876429,Independent House,1239,2,1,3,No,Unfurnished,15,81,51,15594054
30,Mumbai,Andheri,14.271833,74.706181,Plot,1490,3,2,3,Yes,Fully,0,97,38,6001720
31,Hyderabad,Kondapur,13.999362,79.484719,Villa,1333,1,1,8,No,Fully,10,62,99,19788385
32,Hyderabad,Jubilee Hills,17.268676,77.155926,Independent House,3865,4,3,15,Yes,Fully,4,60,61,54396010
33,Pune,Baner,13.131599,73.66298,Plot,1480,2,1,17,Yes,Semi,29,71,98,21516240
34,Bengaluru,Electronic City,18.21076,77.997261,Plot,2616,5,4,12,No,Fully,16,63,49,19125576
35,Bengaluru,Whitefield,14.7983,75.566867,Independent House,2720,2,1,0,Yes,Unfurnished,13,95,98,28016000
36,Bengaluru,Whitefield,15.656559,77.4566,Plot,2333,2,1,2,Yes,Unfurnished,25,58,30,15143503
37,Hyderabad,Gachibowli,18.604783,73.533614,Independent House,1076,3,2,7,Yes,Unfurnished,17,69,59,13548992
38,Chennai,OMR,18.19394,77.177347,Apartment,678,2,1,8,Yes,Fully,13,73,30,8247192
39,Pune,Hinjewadi,14.18201,78.560036,Villa,2181,4,3,14,Yes,Semi,24,68,14,15884223
40,Mumbai,Powai,12.993378,72.414724,Apartment,2244,1,1,5,No,Semi,28,95,41,30890904
41,Mumbai,Powai,18.89488,75.539481,Apartment,3054,4,3,0,Yes,Semi,2,72,54,30921750
42,Bengaluru,Electronic City,14.263164,77.898558,Plot,4936,4,3,0,No,Unfurnished,25,90,99,35351632
43,Pune,Wakad,18.703827,76.935828,Independent House,3473,3,2,23,No,Semi,9,50,93,32951824
44,Mumbai,Andheri,18.496696,73.463514,Independent House,4022,4,3,22,Yes,Fully,7,70,41,24831828
45,Hyderabad,Kukatpally,18.86179,79.067797,Apartment,4961,3,2,8,Yes,Unfurnished,3,76,64,32901352
46,Pune,Hinjewadi,15.968189,74.983768,Independent House,2907,3,2,6,No,Unfurnished,5,65,31,24933339
47,Bengaluru,Whitefield,12.031445,79.0626,Villa,4300,1,1,14,No,Unfurnished,28,68,30,24406800
48,Hyderabad,Gachibowli,14.58096,73.130956,Villa,3364,2,1,8,Yes,Fully,23,91,27,15518132
49,Hyderabad,Banjara Hills,12.442898,72.811102,Plot,4560,5,4,21,Yes,Fully,17,55,84,54359760
50,Pune,Wakad,18.049725,79.972963,Independent House,3892,4,3,20,Yes,Semi,23,75,27,16727816
51,Bengaluru,HSR Layout,12.997478,78.451746,Plot,621,1,1,2,No,Fully,16,60,19,8095356
52,Bengaluru,Electronic City,14.201682,76.861158,Plot,1537,1,1,2,Yes,Fully,25,64,80,18304133
53,Mumbai,Andheri,18.794846,78.525198,Villa,1508,2,1,1,Yes,Fully,26,70,16,12134876
54,Chennai,Adyar,12.163627,76.951135,Plot,4625,4,3,14,Yes,Semi,24,89,100,32042000
55,Hyderabad,Banjara Hills,16.59967,72.325213,Villa,4120,5,4,2,No,Fully,16,55,7,50914960
56,Hyderabad,Madhapur,18.696475,79.32833,Villa,1578,4,3,21,Yes,Unfurnished,26,72,79,13753848
57,Mumbai,Bandra,13.661794,74.978136,Villa,2653,5,4,5,No,Unfurnished,20,67,87,32605370
58,Mumbai,Powai,17.996196,77.903385,Independent House,2564,5,4,8,No,Semi,18,59,47,36711352
59,Pune,Wakad,13.045553,76.928416,Plot,514,1,1,13,No,Unfurnished,4,81,30,3922334
60,Bengaluru,Indiranagar,13.429291,76.991436,Plot,2967,5,4,5,Yes,Unfurnished,29,65,91,18365730
61,Hyderabad,Jubilee Hills,16.049307,76.815052,Plot,3369,5,4,7,Yes,Unfurnished,1,53,69,49109913
62,Bengaluru,HSR Layout,16.256581,76.055586,Plot,3884,2,1,19,Yes,Fully,9,54,39,48515044
63,Mumbai,Bandra,13.626077,72.310541,Independent House,2350,1,1,23,No,Fully,1,67,82,19465050
64,Chennai,Velachery,13.343559,75.109657,Villa,2161,2,1,12,No,Semi,26,83,90,20216155
65,Pune,Kharadi,12.783251,76.975753,Villa,1684,1,1,11,Yes,Fully,0,51,6,7476960
66,Bengaluru,Whitefield,13.440064,72.895758,Apartment,3644,1,1,25,Yes,Fully,20,68,62,29294116
67,Chennai,OMR,15.526161,78.811019,Apartment,3514,3,2,25,No,Unfurnished,13,83,99,48714582
68,Mumbai,Powai,17.335267,79.822926,Apartment,4788,2,1,11,No,Unfurnished,15,94,24,41770512
69,Bengaluru,Indiranagar,17.367667,75.922334,Apartment,1858,1,1,20,No,Semi,3,75,51,26807224
70,Pune,Kharadi,12.888164,76.752707,Apartment,3607,2,1,11,No,Fully,4,78,85,41664457
71,Bengaluru,HSR Layout,13.08216,73.247886,Villa,2691,3,2,23,No,Fully,16,72,21,37980774
72,Mumbai,Bandra,15.044461,73.569527,Apartment,1715,3,2,8,Yes,Semi,14,52,2,15215480
