Comparison_ID,Property_A_ID,Property_B_ID,Property_A_Price_INR,Property_B_Price_INR,Property_A_Area_sqft,Property_B_Area_sqft,Property_A_BHK,Property_B_BHK,Property_A_Investment_Score,Property_B_Investment_Score,Better_Property,Reason
1,3008,8276,23600000,3500000,657,2119,5,4,83,65,A,Higher investment score and better overall value.
2,559,5390,21200000,6400000,3257,2109,1,2,84,81,A,Higher investment score and better overall value.
3,609,7700,23400000,8500000,1454,3359,5,1,65,54,A,Higher investment score and better overall value.
4,7395,8216,15900000,13300000,1688,709,1,2,74,70,A,Higher investment score and better overall value.
5,9118,1847,7800000,19500000,2026,1961,3,5,61,92,B,Higher investment score and better overall value.
6,602,8515,13900000,7600000,3638,3018,1,3,92,65,A,Higher investment score and better overall value.
7,7917,941,10100000,20300000,1787,742,4,2,68,53,A,Higher investment score and better overall value.
8,8612,7850,24900000,12800000,3857,1230,3,5,51,63,B,Higher investment score and better overall value.
9,168,6265,21800000,4100000,1683,3031,3,2,93,58,A,Higher investment score and better overall value.
10,7322,2308,20200000,10700000,1118,1845,5,3,54,57,B,Higher investment score and better overall value.
11,9012,757,16400000,22500000,3771,832,1,4,88,95,B,Higher investment score and better overall value.
12,687,4010,11400000,22000000,1808,3948,5,5,74,59,A,Higher investment score and better overall value.
13,4778,8615,8300000,5100000,3125,3936,3,2,98,85,A,Higher investment score and better overall value.
14,7341,8275,20900000,20000000,3490,2413,4,5,89,51,A,Higher investment score and better overall value.
15,9657,6629,15100000,23900000,1568,2234,4,3,96,77,A,Higher investment score and better overall value.
16,7369,9923,10200000,9700000,2570,2642,4,3,94,93,A,Higher investment score and better overall value.
17,1486,9065,16800000,11200000,3139,2137,4,1,61,55,A,Higher investment score and better overall value.
18,5278,8433,20900000,16400000,1418,1576,5,3,66,59,A,Higher investment score and better overall value.
19,6302,4464,9000000,4300000,2036,3919,3,1,56,62,B,Higher investment score and better overall value.
20,2423,1549,15100000,12900000,612,2115,2,2,69,62,A,Higher investment score and better overall value.
21,9419,9579,3900000,20300000,2984,899,1,4,79,100,B,Higher investment score and better overall value.
22,5538,2502,12500000,10800000,1820,3221,1,1,67,59,A,Higher investment score and better overall value.
23,8112,4510,20200000,13700000,1247,732,1,2,93,100,B,Higher investment score and better overall value.
24,3502,8238,12500000,19000000,2781,3192,2,1,52,96,B,Higher investment score and better overall value.
25,8737,9890,13400000,8800000,2500,3453,3,1,57,69,B,Higher investment score and better overall value.
26,8786,8201,9200000,16600000,2872,1771,4,3,76,63,A,Higher investment score and better overall value.
