Recommendation_ID,User_Budget_INR,Preferred_BHK,Preferred_City,Preferred_Locality,Recommended_Property_ID,Recommended_Price_INR,Area_sqft,Recommendation_Score,Similarity_Score,Investment_Score
1,13700000,3,Bengaluru,Indiranagar,7850,25000000,1484,99.59,78.99,82
2,8900000,2,Hyderabad,Madhapur,694,14600000,3625,93.04,76.27,78
3,3500000,4,Hyderabad,Gachibowli,2640,17600000,3583,80.25,79.39,61
4,17300000,4,Hyderabad,Kukatpally,3295,12200000,1198,96.54,76.38,73
5,15500000,1,Mumbai,Powai,9019,18800000,3664,85.61,82.86,70
6,5600000,2,Chennai,Velachery,1076,24300000,1312,93.23,75.0,93
7,20000000,2,Mumbai,Thane,4029,7600000,2901,72.07,92.21,99
8,4700000,3,Bengaluru,Indiranagar,2394,7300000,3654,91.78,61.98,58
9,17800000,4,Mumbai,Thane,5046,7000000,2788,87.59,65.57,96
10,9500000,4,Pune,Kharadi,2270,6900000,1181,72.84,63.76,51
11,8600000,5,Mumbai,Thane,2722,8100000,1353,95.64,68.06,97
12,13100000,5,Mumbai,Powai,2873,21700000,1555,77.56,87.87,70
13,16900000,5,Mumbai,Powai,984,16500000,3036,91.96,98.68,69
14,11100000,4,Chennai,OMR,1764,5400000,3269,72.19,92.57,98
15,13200000,1,Pune,Kharadi,3695,4100000,799,89.78,61.68,67
16,19100000,1,Mumbai,Bandra,614,15700000,1307,84.71,88.69,63
17,16400000,1,Pune,Kharadi,2653,11500000,1427,79.32,75.65,59
18,8200000,3,Bengaluru,Indiranagar,6095,19900000,2982,90.38,70.43,51
19,13000000,4,Mumbai,Bandra,6582,14600000,2487,88.45,71.23,61
20,13100000,5,Hyderabad,Gachibowli,7230,21400000,2441,77.18,60.3,84
21,16500000,1,Pune,Kharadi,5057,8300000,2308,82.05,82.08,64
22,4500000,4,Bengaluru,HSR Layout,8628,19000000,2793,88.55,78.84,93
23,16100000,1,Hyderabad,Madhapur,3110,12700000,1705,80.54,66.48,87
24,13400000,2,Chennai,Anna Nagar,3171,22100000,2748,82.66,72.98,64
25,15200000,2,Chennai,Adyar,7234,24100000,677,97.1,87.18,63
26,18700000,3,Chennai,Velachery,9949,4100000,3695,81.25,89.94,61
